Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Citation Sub-Tier (4a/4b/4c/n/a),Week Over Week,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Purchase Path Potential (1-5),Repo File Path,Edit Instruction,Week Over Week Delta,WoW Age
"what is A realistic morning routine for people with chaotic days — Spry Executive OS","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","Search Answer","Perplexity","2026-07-18","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","structured","Y","Y","No Citation Gap","N","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||No Citation Gap||Content already cited; refresh publish date and add minor stat update to retain citation.",4,"4a","new","None","No Citation Gap","Maintain Freshness","free win",5,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Content already cited; refresh publish date and add minor stat update to retain citation.","new","new"
"what is A realistic morning routine for people with chaotic days — Spry Executive OS","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","Chat Answer","GPT-4o","2026-07-18","verywellmind.com, todoist blog","structured","N","N","Full Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Full Citation Gap||Add answer-first summary paragraph and FAQPage schema to compete for citation.",1,"n/a","new","None","Full Citation Gap","Add FAQ Schema","outperform",3,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add answer-first summary paragraph and FAQPage schema to compete for citation.","new","new"
"what is A realistic morning routine for people with chaotic days — Spry Executive OS","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","AI Overview","Gemini Flash","2026-07-18","None","structured","N","N","Full Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Full Citation Gap||Add structured H2 steps and schema markup to increase AI Overview visibility.",1,"n/a","new","None","Full Citation Gap","Add Structured Data","outperform",2,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add structured H2 steps and schema markup to increase AI Overview visibility.","new","new"
"A realistic morning routine for people with chaotic days — Spry Executive OS for founders","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","Search Answer","Perplexity","2026-07-18","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","structured","Y","Y","Partial Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Partial Citation Gap||Add founder-specific subheading to strengthen topical match for founder queries.",3,"n/a","new","None","Partial Citation Gap","Improve Heading Structure","page fix",4,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add founder-specific subheading to strengthen topical match for founder queries.","new","new"
"A realistic morning routine for people with chaotic days — Spry Executive OS for founders","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","Chat Answer","GPT-4o","2026-07-18","firstround.com, indiehackers.com","structured","N","N","Full Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Full Citation Gap||Add founder use-case examples and internal link to build topical authority.",1,"n/a","new","None","Full Citation Gap","Add TL;DR Summary","outperform",3,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add founder use-case examples and internal link to build topical authority.","new","new"
"A realistic morning routine for people with chaotic days — Spry Executive OS for founders","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","AI Overview","Gemini Flash","2026-07-18","None","structured","N","N","Full Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Full Citation Gap||Add founder-tagged FAQ block to improve extraction for founder-specific queries.",1,"n/a","new","None","Full Citation Gap","Add FAQ Schema","outperform",2,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add founder-tagged FAQ block to improve extraction for founder-specific queries.","new","new"
"A realistic morning routine for people with chaotic days — Spry Executive OS with AI","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","Search Answer","Perplexity","2026-07-18","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","structured","Y","Y","Partial Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Partial Citation Gap||Add a short section on AI tools integration to align with 'with AI' query intent.",3,"n/a","new","None","Partial Citation Gap","Expand Content Coverage","free win",4,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add a short section on AI tools integration to align with 'with AI' query intent.","new","new"
"A realistic morning routine for people with chaotic days — Spry Executive OS with AI","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","Chat Answer","GPT-4o","2026-07-18","zapier.com blog, notion.so blog","structured","N","N","Full Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Full Citation Gap||Add explicit mention of AI-assisted planning to capture AI-intent queries.",1,"n/a","new","None","Full Citation Gap","Add TL;DR Summary","outperform",3,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add explicit mention of AI-assisted planning to capture AI-intent queries.","new","new"
"A realistic morning routine for people with chaotic days — Spry Executive OS with AI","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","AI Overview","Gemini Flash","2026-07-18","None","structured","N","N","Full Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Full Citation Gap||Add structured comparison table referencing AI tools to align with query intent.",1,"n/a","new","None","Full Citation Gap","Add Structured Data","outperform",2,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add structured comparison table referencing AI tools to align with query intent.","new","new"
"A realistic morning routine for people with chaotic days — Spry Executive OS for daily planning","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","Search Answer","Perplexity","2026-07-18","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html, https://spryexecutiveos.com/insights/a-simple-system-for-tracking-what-actually-matters.html","structured","Y","Y","No Citation Gap","N","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||No Citation Gap||Cross-link to tracking system article to reinforce daily planning topical cluster.",4,"4a","new","None","No Citation Gap","Internal Linking","free win",5,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Cross-link to tracking system article to reinforce daily planning topical cluster.","new","new"
"A realistic morning routine for people with chaotic days — Spry Executive OS for daily planning","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","Chat Answer","GPT-4o","2026-07-18","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html, sunsama.com blog","structured","Y","N","Partial Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Partial Citation Gap||Add planning-specific keyword variants in subheads to strengthen match.",2,"n/a","new","None","Partial Citation Gap","Improve Heading Structure","page fix",4,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add planning-specific keyword variants in subheads to strengthen match.","new","new"
"A realistic morning routine for people with chaotic days — Spry Executive OS for daily planning","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","AI Overview","Gemini Flash","2026-07-18","None","structured","N","N","Full Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Full Citation Gap||Add step-by-step planning checklist with schema to improve extraction odds.",1,"n/a","new","None","Full Citation Gap","Add Structured Data","outperform",2,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add step-by-step planning checklist with schema to improve extraction odds.","new","new"
"A realistic morning routine for people with chaotic days — Spry Executive OS for accountability","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","Search Answer","Perplexity","2026-07-18","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","structured","Y","Y","Partial Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Partial Citation Gap||Add explicit accountability tracking tip section to match query intent more directly.",3,"n/a","new","None","Partial Citation Gap","Expand Content Coverage","page fix",4,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add explicit accountability tracking tip section to match query intent more directly.","new","new"
"A realistic morning routine for people with chaotic days — Spry Executive OS for accountability","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","Chat Answer","GPT-4o","2026-07-18","habitica.com blog, jamesclear.com","structured","N","N","Full Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Full Citation Gap||Add accountability partner framing and FAQ to strengthen relevance for this intent.",1,"n/a","new","None","Full Citation Gap","Add FAQ Schema","outperform",3,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add accountability partner framing and FAQ to strengthen relevance for this intent.","new","new"
"A realistic morning routine for people with chaotic days — Spry Executive OS for accountability","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","AI Overview","Gemini Flash","2026-07-18","None","structured","N","N","Full Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Full Citation Gap||Add accountability-focused callout box with structured data markup.",1,"n/a","new","None","Full Citation Gap","Add Structured Data","outperform",2,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add accountability-focused callout box with structured data markup.","new","new"
