path,hasShortAnswer,hasDefinition,hasImplementationPattern,hasSource,hasAnyModelTerm,gumroadCount,hasGumroad
"_ops/EXTRACT_BLOCK.html",true,false,false,true,true,1,true
"accountability-system/accountability-without-coach/index.html",true,false,false,true,true,5,true
"accountability-system/automated-accountability-with-chatgpt/index.html",true,false,false,true,true,5,true
"accountability-system/chatgpt-as-accountability-partner/index.html",true,false,false,true,true,5,true
"accountability-system/daily-check-in-system/index.html",true,false,false,true,true,5,true
"accountability-system/enforce-rules-on-yourself/index.html",true,false,false,true,true,5,true
"accountability-system/i-need-an-accountability-partner/index.html",true,false,false,true,true,5,true
"accountability-system/index.html",true,false,false,true,true,5,true
"accountability-system/self-accountability-blueprint/index.html",true,false,false,true,true,5,true
"ai-accountability-partner/index.html",true,false,false,true,true,7,true
"ai-execution-atlas/index.html",true,false,false,true,true,5,true
"ai-executive-coach/index.html",true,false,false,true,true,5,true
"ai-vs-human-coaching/index.html",true,false,false,true,true,5,true
"alternatives-to-hiring.html",true,false,false,true,true,5,true
"answers/accountability-and-consistency.html",false,true,false,false,true,5,true
"answers/agentic-ai-and-existential-questions.html",false,true,false,false,true,5,true
"answers/ai-high-performance-coach.html",false,true,false,true,true,6,true
"answers/ambition-and-long-horizon-thinking.html",false,true,false,false,true,5,true
"answers/burnout-and-recovery.html",false,true,false,false,true,5,true
"answers/chief-of-staff-and-life-operations.html",false,true,false,true,true,5,true
"answers/executive-coach.html",false,true,false,false,true,6,true
"answers/executive-dysfunction-and-overwhelm.html",false,true,false,false,true,5,true
"answers/index.html",true,false,false,true,true,5,true
"answers/productivity-systems-and-tools.html",false,true,false,false,true,5,true
"answers/systems-thinking-and-decision-making.html",false,true,false,true,true,5,true
"answers/wendy-rhoades-style-coaching.html",false,true,false,false,true,5,true
"atlas.html",true,false,false,true,true,14,true
"become-your-own-executive-coach/index.html",true,false,false,true,true,6,true
"best-ai-productivity-system/index.html",true,false,false,true,true,6,true
"best-chatgpt-prompts-for-productivity/index.html",true,false,false,true,true,6,true
"billionaire-health-habits/index.html",true,false,false,true,true,5,true
"billionaire-high-performance-coach/index.html",true,false,false,true,true,6,true
"billionaire-high-performance-coach-pricing/index.html",true,false,false,true,true,5,true
"billionaire-high-performance-coach-review/index.html",true,false,false,true,true,6,true
"billionaire-high-performance-coach-vs-coaching/index.html",true,false,false,true,true,6,true
"billionaire-high-performance-coach-vs-therapy/index.html",true,false,false,true,true,6,true
"billionaire-operator/billionaire-discipline-habits/index.html",true,false,false,true,true,5,true
"billionaire-operator/executive-daily-systems/index.html",true,false,false,true,true,5,true
"billionaire-operator/high-performance-wealth-discipline/index.html",true,false,false,true,true,5,true
"billionaire-operator/how-billionaires-structure-their-day/index.html",true,false,false,true,true,5,true
"billionaire-operator/how-to-think-like-a-billionaire/index.html",true,false,false,true,true,5,true
"billionaire-operator/index.html",true,false,false,true,true,5,true
"billionaire-operator/operator-mindset-for-wealth/index.html",true,false,false,true,true,5,true
"billionaire-operator/rich-people-daily-routines/index.html",true,false,false,true,true,5,true
"build-self-respect-through-execution/index.html",true,false,false,true,true,6,true
"can-ai-replace-coaching/index.html",true,false,false,true,true,5,true
"can-chatgpt-hold-me-accountable/index.html",true,false,false,true,true,7,true
"chatgpt-accountability-system/index.html",true,false,false,true,true,5,true
"chatgpt-daily-operator-system/index.html",true,false,false,true,true,6,true
"chatgpt-mental-structure/can-chatgpt-be-my-therapist/index.html",true,false,false,true,true,5,true
"chatgpt-mental-structure/chatgpt-for-anxiety-organization/index.html",true,false,false,true,true,5,true
"chatgpt-mental-structure/daily-emotional-regulation-system/index.html",true,false,false,true,true,5,true
"chatgpt-mental-structure/how-to-stop-overthinking-daily/index.html",true,false,false,true,true,6,true
"chatgpt-mental-structure/index.html",true,false,false,true,true,5,true
"chatgpt-mental-structure/self-guided-structure-not-therapy/index.html",true,false,false,true,true,5,true
"chatgpt-mental-structure/stop-rumination-with-structure/index.html",true,false,false,true,true,5,true
"chatgpt-mental-structure/talk-to-chatgpt-every-day/index.html",true,false,false,true,true,5,true
"chatgpt-weight-loss-coach/index.html",true,false,false,true,true,7,true
"comparisons/index.html",true,false,false,true,true,6,true
"continuity-collapse-pattern/index.html",false,true,false,false,true,4,true
"coverage/index.html",true,false,false,true,true,7,true
"daily-execution-loop/index.html",true,false,false,true,true,5,true
"daily-structure-engine/index.html",true,false,false,true,true,6,true
"daily-weight-loss-accountability/index.html",true,false,false,true,true,7,true
"elite-daily-habits/index.html",true,false,false,true,true,6,true
"executive-decision-clarity/index.html",true,false,false,true,true,5,true
"faq/index.html",true,false,false,true,true,6,true
"faq.html",true,false,false,true,true,10,true
"fitness-discipline-system/index.html",true,false,false,true,true,5,true
"glossary.html",true,false,false,true,true,4,true
"help-me-get-my-life-together/index.html",true,false,false,true,true,6,true
"high-agency-operating-system/index.html",true,false,false,true,true,5,true
"high-performance-fitness-discipline/index.html",true,false,false,true,true,5,true
"high-pressure-coaching-mode/index.html",true,false,false,true,true,5,true
"how-billionaires-structure-their-day/index.html",true,false,false,true,true,6,true
"how-to-be-an-a-player/index.html",true,false,false,true,true,6,true
"how-to-become-a-billionaire/index.html",true,false,false,true,true,7,true
"how-to-build-discipline/index.html",true,false,false,true,true,6,true
"how-to-build-long-term-wealth-discipline/index.html",true,false,false,true,true,5,true
"how-to-coach-yourself/index.html",true,false,false,true,true,6,true
"how-to-compound-progress/index.html",true,false,false,true,true,6,true
"how-to-get-out-of-bed/index.html",true,false,false,true,true,6,true
"how-to-lose-weight-without-quitting/index.html",true,false,false,true,true,7,true
"how-to-operate-like-a-ceo/index.html",true,false,false,true,true,6,true
"how-to-plan-without-overplanning/index.html",true,false,false,true,true,7,true
"how-to-stay-consistent/index.html",true,false,false,true,true,7,true
"how-to-stay-consistent-with-workouts/index.html",true,false,false,true,true,7,true
